filename,x1,y1,x2,y2
115WbJDuFNePtmmPPbfXCiS8xbEma.jpg,345,426,791,518
1167tlVRmziSI87CbfMU42Im6Mps5a.jpg,425,463,795,520
11E6V_Rkh9hp6xs9bRVsI21h2ZQUBf.jpg,372,445,765,506
12nOyH6Mqf3xsVh2pvoXJKdNFiHqZB5.jpg,420,448,828,508
12OfZfvTIhBltWQtFzU37bIZXbx77ea.jpg,431,503,958,580
12vi4gniVq_YUOtGrQshd3Ecpfn_E8w.jpg,472,455,889,518
13P27vDBVRLgxNT9mFRgQIUWr9sV5U5.jpg,473,452,732,499
14JdLyrjsrNO47ML9fnV7iPM1D_d3T_.jpg,434,492,927,564
14NHVy8sttHaTvDaLCbfzXL8oeRIVq.jpg,394,459,811,531
14v9PKL4STbowQakMtkQOEY7khonG.jpg,452,461,745,515
157V2bJoGqWmqyzFcQrYKsc9QSxr4wT.jpg,345,439,721,497
15ae2eH2n19VrbPsNqPpvqIBCa68s.jpg,488,460,740,508
15Gupe6g4gEUWfyVSpdqfMrCkePFd85.jpg,484,447,892,510
15j9IrQJKhH8an22dEC6YS8DKLtTirj.jpg,561,474,830,522
15mQIsi27osR2MeuLeQyw3XUdxk_gj1.jpg,361,461,840,531
16Jt2w8wVPlfO5O1Msf3istKeybvyMqu.jpg,274,448,655,505
16_yb4K5Jq6_XYbvhgCE7_ELw3cnqs.jpg,321,524,886,605
17hcNLFWC9B4geZJrb6saHaBhhJH4xT7.jpg,471,456,827,509
17qe_efKR4uKEetK_cPJMl5DQrS2wL.jpg,462,459,889,522
186T7_JaDYVmqmj3qpQReCtLTianw7J.jpg,388,466,837,532
18b93l7oVa_r4rrDFzewjW9OKaIUmmXF.jpg,397,499,821,557
19aaXsMyN6feZ2YxBtUV7iG4LrJaYB.jpg,340,430,715,485
19MrQsKmIqanuv4BMREy2pa5HC8huL.jpg,370,433,715,490
19OrJYsLt7X8IlZVgxSR6sShr87pxoh.jpg,464,472,750,525
19xIMpjIltsvuPvyH9ZTeaSBXcZ9C8W.jpg,409,454,685,503
1abq6hspJpPXWU29BVhwpGmeKIX2yRB9.jpg,445,432,803,487
1aNtQPT4MBRzlr_yDpbwEi6Ok9kY_k7a.jpg,253,487,665,546
1aontdHlmFHLUTDkJBsB18Y3VqLK2.jpg,378,434,739,488
1BHPvjaGVfvHl5aTPv9uXPLRseCOhbP.jpg,438,480,833,538
1bTfVpOnVEJy9h9P_JnLrpz2Dx1ZQE.jpg,297,540,918,635
1BvGLfEaXBR7UEnzHD2sEFPPpbnDeEL.jpg,381,511,827,573
1bVOQ3hC8mOhWGVHfldZOB6xbXgp7.jpg,388,443,806,504
1C73pwmyVC145u5B71vClgpUhPoCc6.jpg,444,543,804,605
1cJ3pWDBkOzTJaodT232fE1SFTIVpU.jpg,418,534,919,609
1cVHEysp5yPpWWWPkBp2uzzuKoZ1O.jpg,486,470,861,528
1cYN_62zYqNnXiWYbMifOPXV13vQPj.jpg,455,448,866,519
1d1cp_e9DrhVh__wXQBHnBFQWr2UN5L.jpg,498,428,853,482
1d823GKbQbjq4pSnotUF3gYSp3regV.jpg,346,438,714,493
1Dhk87xcTU2iEvEfi4_adgfFtTmUJE.jpg,489,469,746,516
1dI6rkY5yfK6YcE27RefGcnIWyhyxV.jpg,421,494,837,558
1dIwfVO7QtJOiKFoI7nUhtWiX6xRwPzE.jpg,448,435,858,501
1dJ5Htx96qSS8D3dJE1EEhNi7FrxGk.jpg,432,461,856,523
1DRZYzqoBDzZjVefVMNqEdSFB_9ZdZBY.jpg,287,466,738,536
1dwcSh_j8blSogfKIWfSXvrUI_s4aNu.jpg,456,463,734,513
1Ee969ctY11plYqJVIaOQabyeJO831.jpg,550,426,802,472
1ewLBWDaBBwrfhKpGW6qqHvbjxsh15G.jpg,464,424,806,475
1F9W3Lf1M4UftoEay6Ni8YIBel6E59yB.jpg,383,489,854,557
1fLzjhjsiuPjXxrdNkQO5W9JZrtypey.jpg,461,428,696,469
1fYsTRg2s3HMWfwXDvCS4tKTyquBxTKx.jpg,398,432,635,476
1GKl2eBYkvyVsDFIDskOvNOfF7tfYCwY.jpg,492,499,948,569
1GkrhCT7cTjZ9MBrSFMsqfUVmpMGuSv.jpg,374,471,862,541
1Iit2Jn2wLy6zNeyzJYlMbmHCCtKb.jpg,449,462,876,526
1In21iI7NBlTLfvTbDDwT8v4vBDiJ.jpg,290,486,623,544
1Ip3Jbbwr3tOeRmjI5tmXpriLo2sp_.jpg,527,441,767,484
1iQqPUbxS_Lg4UadHzZ_617v3zISLa4.jpg,476,448,739,496
1iZrtUjde1uB43E8zZKUFg7UOKkHuy.jpg,483,475,871,536
1jfOG81Zs8gLSrX6SoK9h4VOcVo1yRyX.jpg,431,477,912,546
1Jl5OlizYql6FzPCrVXWPvf9WL9ckIX.jpg,473,433,724,481
1JrX6RYWJI4_fxzU1MTb8FtSSj4RTqSB.jpg,478,459,836,514
1JT8fWfFpDPIM196hJT1DBXgayd_KG.jpg,374,437,634,486
1Jwz1zITfz6lqVO2rxEWIagtydzB65.jpg,415,461,701,510
1jyDuRsMIp1WuS39HRbhMsSWwN4p8O.jpg,430,492,860,553
1kcRtUUhUp2_668_1FhZNGZbJLNyMD_.jpg,496,447,733,490
1KgkuFWSHhONsXVuvtJB5BQEedovWu.jpg,424,461,711,510
1kjdJoszot4iMufqxJGQQYDluV8m4Owu.jpg,466,485,971,563
1KTaFSepCzgrBnl8UJzzg7gTz3vjn5K.jpg,260,565,950,682
1KWsKuGZbKh_hmePMved2bSCH3VZj7.jpg,455,470,770,529
1l4VIwgIWWsyMrvsrgEr5KK56QN9UmBp.jpg,447,433,682,475
1LFHI85RpCmZHkqdt7wCIIVzFXRya5dz.jpg,431,440,813,498
1lMiXf9subsTdsD7w7n1ONs93KD4pW6j.jpg,435,449,703,498
