filename,normal
115WbJDuFNePtmmPPbfXCiS8xbEma.jpg,1
1167tlVRmziSI87CbfMU42Im6Mps5a.jpg,1
11E6V_Rkh9hp6xs9bRVsI21h2ZQUBf.jpg,1
12nOyH6Mqf3xsVh2pvoXJKdNFiHqZB5.jpg,1
12OfZfvTIhBltWQtFzU37bIZXbx77ea.jpg,1
12vi4gniVq_YUOtGrQshd3Ecpfn_E8w.jpg,1
13P27vDBVRLgxNT9mFRgQIUWr9sV5U5.jpg,0
14JdLyrjsrNO47ML9fnV7iPM1D_d3T_.jpg,1
14NHVy8sttHaTvDaLCbfzXL8oeRIVq.jpg,1
14v9PKL4STbowQakMtkQOEY7khonG.jpg,0
157V2bJoGqWmqyzFcQrYKsc9QSxr4wT.jpg,1
15ae2eH2n19VrbPsNqPpvqIBCa68s.jpg,0
15Gupe6g4gEUWfyVSpdqfMrCkePFd85.jpg,1
15j9IrQJKhH8an22dEC6YS8DKLtTirj.jpg,1
15mQIsi27osR2MeuLeQyw3XUdxk_gj1.jpg,1
16Jt2w8wVPlfO5O1Msf3istKeybvyMqu.jpg,1
16_yb4K5Jq6_XYbvhgCE7_ELw3cnqs.jpg,1
17hcNLFWC9B4geZJrb6saHaBhhJH4xT7.jpg,1
17qe_efKR4uKEetK_cPJMl5DQrS2wL.jpg,1
186T7_JaDYVmqmj3qpQReCtLTianw7J.jpg,1
18b93l7oVa_r4rrDFzewjW9OKaIUmmXF.jpg,1
19aaXsMyN6feZ2YxBtUV7iG4LrJaYB.jpg,1
19MrQsKmIqanuv4BMREy2pa5HC8huL.jpg,1
19OrJYsLt7X8IlZVgxSR6sShr87pxoh.jpg,0
19xIMpjIltsvuPvyH9ZTeaSBXcZ9C8W.jpg,0
1abq6hspJpPXWU29BVhwpGmeKIX2yRB9.jpg,1
1aNtQPT4MBRzlr_yDpbwEi6Ok9kY_k7a.jpg,0
1aontdHlmFHLUTDkJBsB18Y3VqLK2.jpg,1
1BHPvjaGVfvHl5aTPv9uXPLRseCOhbP.jpg,1
1bTfVpOnVEJy9h9P_JnLrpz2Dx1ZQE.jpg,1
1BvGLfEaXBR7UEnzHD2sEFPPpbnDeEL.jpg,1
